Starting Nmap 7.94SVN ( https://nmap.org ) at 2024-09-22 14:21 EDT
Nmap scan report for 115.243.113.46
Host is up (0.29s latency).

PORT      STATE    SERVICE    VERSION
5555/tcp  filtered freeciv
5560/tcp  open     ftp        Microsoft ftpd
5566/tcp  open     ftp        Microsoft ftpd
5631/tcp  open     ftp        Microsoft ftpd
5633/tcp  open     ftp        Microsoft ftpd
5666/tcp  open     ftp        Microsoft ftpd
5678/tcp  open     ftp        Microsoft ftpd
5679/tcp  open     ftp        Microsoft ftpd
5718/tcp  open     ftp        Microsoft ftpd
5730/tcp  open     ftp        Microsoft ftpd
5800/tcp  open     ftp        Microsoft ftpd
5801/tcp  open     ftp        Microsoft ftpd
5802/tcp  open     ftp        Microsoft ftpd
5810/tcp  open     ftp        Microsoft ftpd
5811/tcp  open     ftp        Microsoft ftpd
5815/tcp  open     ftp        Microsoft ftpd
5822/tcp  open     ftp        Microsoft ftpd
5825/tcp  open     ftp        Microsoft ftpd
5850/tcp  open     ftp        Microsoft ftpd
5859/tcp  open     ftp        Microsoft ftpd
5862/tcp  open     ftp        Microsoft ftpd
5877/tcp  open     ftp        Microsoft ftpd
5900/tcp  open     ftp        Microsoft ftpd
5901/tcp  open     ftp        Microsoft ftpd
5902/tcp  open     ftp        Microsoft ftpd
5903/tcp  open     ftp        Microsoft ftpd
5904/tcp  open     ftp        Microsoft ftpd
5906/tcp  open     ftp        Microsoft ftpd
5907/tcp  open     ftp        Microsoft ftpd
5910/tcp  open     ftp        Microsoft ftpd
5911/tcp  open     ftp        Microsoft ftpd
5915/tcp  open     ftp        Microsoft ftpd
5922/tcp  open     ftp        Microsoft ftpd
5925/tcp  open     ftp        Microsoft ftpd
5950/tcp  open     ftp        Microsoft ftpd
5952/tcp  open     ftp        Microsoft ftpd
5959/tcp  open     ftp        Microsoft ftpd
5960/tcp  open     ftp        Microsoft ftpd
5961/tcp  open     ftp        Microsoft ftpd
5962/tcp  open     ftp        Microsoft ftpd
5963/tcp  open     ftp        Microsoft ftpd
5987/tcp  open     ftp        Microsoft ftpd
5988/tcp  open     ftp        Microsoft ftpd
5989/tcp  open     ftp        Microsoft ftpd
5998/tcp  open     ftp        Microsoft ftpd
5999/tcp  open     ftp        Microsoft ftpd
6000/tcp  open     ftp        Microsoft ftpd
6001/tcp  open     ftp        Microsoft ftpd
6002/tcp  open     ftp        Microsoft ftpd
6003/tcp  open     ftp        Microsoft ftpd
6004/tcp  open     ftp        Microsoft ftpd
6005/tcp  open     ftp        Microsoft ftpd
6006/tcp  open     ftp        Microsoft ftpd
6007/tcp  open     ftp        Microsoft ftpd
6009/tcp  open     ftp        Microsoft ftpd
6025/tcp  open     ftp        Microsoft ftpd
6059/tcp  open     ftp        Microsoft ftpd
6100/tcp  open     ftp        Microsoft ftpd
6101/tcp  open     ftp        Microsoft ftpd
6106/tcp  open     ftp        Microsoft ftpd
6112/tcp  open     ftp        Microsoft ftpd
6123/tcp  open     ftp        Microsoft ftpd
6129/tcp  open     ftp        Microsoft ftpd
6156/tcp  open     ftp        Microsoft ftpd
6346/tcp  open     ftp        Microsoft ftpd
6389/tcp  open     ftp        Microsoft ftpd
6502/tcp  open     ftp        Microsoft ftpd
6510/tcp  open     ftp        Microsoft ftpd
6543/tcp  open     ftp        Microsoft ftpd
6547/tcp  open     ftp        Microsoft ftpd
6565/tcp  open     ftp        Microsoft ftpd
6566/tcp  open     ftp        Microsoft ftpd
6567/tcp  open     ftp        Microsoft ftpd
6580/tcp  open     ftp        Microsoft ftpd
6646/tcp  open     ftp        Microsoft ftpd
6666/tcp  open     ftp        Microsoft ftpd
6667/tcp  open     ftp        Microsoft ftpd
6668/tcp  open     ftp        Microsoft ftpd
6669/tcp  open     ftp        Microsoft ftpd
6689/tcp  open     ftp        Microsoft ftpd
6692/tcp  open     ftp        Microsoft ftpd
6699/tcp  open     ftp        Microsoft ftpd
6779/tcp  open     ftp        Microsoft ftpd
6788/tcp  open     ftp        Microsoft ftpd
6789/tcp  open     ftp        Microsoft ftpd
6792/tcp  open     ftp        Microsoft ftpd
6839/tcp  open     ftp        Microsoft ftpd
6881/tcp  open     ftp        Microsoft ftpd
6901/tcp  open     ftp        Microsoft ftpd
6969/tcp  open     ftp        Microsoft ftpd
7000/tcp  open     ftp        Microsoft ftpd
7001/tcp  open     ftp        Microsoft ftpd
7002/tcp  open     ftp        Microsoft ftpd
7004/tcp  open     ftp        Microsoft ftpd
7007/tcp  open     ftp        Microsoft ftpd
7019/tcp  open     ftp        Microsoft ftpd
7025/tcp  open     ftp        Microsoft ftpd
7070/tcp  open     ftp        Microsoft ftpd
7100/tcp  open     ftp        Microsoft ftpd
7103/tcp  open     ftp        Microsoft ftpd
7106/tcp  open     ftp        Microsoft ftpd
7200/tcp  open     ftp        Microsoft ftpd
7201/tcp  open     ftp        Microsoft ftpd
7402/tcp  open     ftp        Microsoft ftpd
7435/tcp  open     ftp        Microsoft ftpd
7443/tcp  open     ftp        Microsoft ftpd
7496/tcp  open     ftp        Microsoft ftpd
7512/tcp  open     ftp        Microsoft ftpd
7625/tcp  open     ftp        Microsoft ftpd
7627/tcp  open     ftp        Microsoft ftpd
7676/tcp  open     ftp        Microsoft ftpd
7741/tcp  open     ftp        Microsoft ftpd
7777/tcp  open     ftp        Microsoft ftpd
7778/tcp  open     ftp        Microsoft ftpd
7800/tcp  open     ftp        Microsoft ftpd
7911/tcp  open     ftp        Microsoft ftpd
7920/tcp  open     ftp        Microsoft ftpd
7921/tcp  open     ftp        Microsoft ftpd
7937/tcp  open     ftp        Microsoft ftpd
7938/tcp  open     ftp        Microsoft ftpd
7999/tcp  open     ftp        Microsoft ftpd
8000/tcp  open     ftp        Microsoft ftpd
8001/tcp  open     ftp        Microsoft ftpd
8002/tcp  open     ftp        Microsoft ftpd
8007/tcp  open     ftp        Microsoft ftpd
8008/tcp  open     ftp        Microsoft ftpd
8009/tcp  open     ftp        Microsoft ftpd
8010/tcp  open     ftp        Microsoft ftpd
8011/tcp  open     ftp        Microsoft ftpd
8021/tcp  open     ftp        Microsoft ftpd
8022/tcp  open     ftp        Microsoft ftpd
8031/tcp  open     ftp        Microsoft ftpd
8042/tcp  open     ftp        Microsoft ftpd
8045/tcp  open     ftp        Microsoft ftpd
8080/tcp  open     ftp        Microsoft ftpd
8081/tcp  open     ftp        Microsoft ftpd
8082/tcp  open     ftp        Microsoft ftpd
8083/tcp  open     ftp        Microsoft ftpd
8084/tcp  open     ftp        Microsoft ftpd
8085/tcp  open     ftp        Microsoft ftpd
8086/tcp  open     ftp        Microsoft ftpd
8087/tcp  open     ftp        Microsoft ftpd
8088/tcp  open     ftp        Microsoft ftpd
8089/tcp  open     ftp        Microsoft ftpd
8090/tcp  open     ftp        Microsoft ftpd
8093/tcp  open     ftp        Microsoft ftpd
8099/tcp  open     ftp        Microsoft ftpd
8100/tcp  open     ftp        Microsoft ftpd
8180/tcp  open     ftp        Microsoft ftpd
8181/tcp  open     ftp        Microsoft ftpd
8192/tcp  open     ftp        Microsoft ftpd
8193/tcp  open     ftp        Microsoft ftpd
8194/tcp  open     ftp        Microsoft ftpd
8200/tcp  open     ftp        Microsoft ftpd
8222/tcp  open     ftp        Microsoft ftpd
8254/tcp  open     ftp        Microsoft ftpd
8290/tcp  open     ftp        Microsoft ftpd
8291/tcp  open     ftp        Microsoft ftpd
8292/tcp  open     ftp        Microsoft ftpd
8300/tcp  open     ftp        Microsoft ftpd
8333/tcp  open     ftp        Microsoft ftpd
8383/tcp  open     ftp        Microsoft ftpd
8400/tcp  open     ftp        Microsoft ftpd
8402/tcp  open     ftp        Microsoft ftpd
8443/tcp  open     ftp        Microsoft ftpd
8500/tcp  open     ftp        Microsoft ftpd
8600/tcp  open     ftp        Microsoft ftpd
8649/tcp  open     ftp        Microsoft ftpd
8651/tcp  open     ftp        Microsoft ftpd
8652/tcp  open     ftp        Microsoft ftpd
8654/tcp  open     ftp        Microsoft ftpd
8701/tcp  open     ftp        Microsoft ftpd
8800/tcp  open     ftp        Microsoft ftpd
8873/tcp  open     ftp        Microsoft ftpd
8888/tcp  open     ftp        Microsoft ftpd
8899/tcp  open     ftp        Microsoft ftpd
8994/tcp  open     ftp        Microsoft ftpd
9000/tcp  open     ftp        Microsoft ftpd
9001/tcp  open     ftp        Microsoft ftpd
9002/tcp  open     ftp        Microsoft ftpd
9003/tcp  open     ftp        Microsoft ftpd
9009/tcp  open     ftp        Microsoft ftpd
9010/tcp  open     ftp        Microsoft ftpd
9011/tcp  open     ftp        Microsoft ftpd
9040/tcp  open     ftp        Microsoft ftpd
9050/tcp  open     ftp        Microsoft ftpd
9071/tcp  open     ftp        Microsoft ftpd
9080/tcp  open     ftp        Microsoft ftpd
9081/tcp  open     ftp        Microsoft ftpd
9090/tcp  open     ftp        Microsoft ftpd
9091/tcp  open     ftp        Microsoft ftpd
9099/tcp  open     ftp        Microsoft ftpd
9100/tcp  open     jetdirect?
9101/tcp  open     jetdirect?
9102/tcp  open     jetdirect?
9103/tcp  open     jetdirect?
9110/tcp  open     ftp        Microsoft ftpd
9111/tcp  open     ftp        Microsoft ftpd
9200/tcp  open     ftp        Microsoft ftpd
9207/tcp  open     ftp        Microsoft ftpd
9220/tcp  open     ftp        Microsoft ftpd
9290/tcp  open     ftp        Microsoft ftpd
9415/tcp  open     ftp        Microsoft ftpd
9418/tcp  open     ftp        Microsoft ftpd
9485/tcp  open     ftp        Microsoft ftpd
9500/tcp  open     ftp        Microsoft ftpd
9502/tcp  open     ftp        Microsoft ftpd
9503/tcp  open     ftp        Microsoft ftpd
9535/tcp  open     ftp        Microsoft ftpd
9575/tcp  open     ftp        Microsoft ftpd
9593/tcp  open     ftp        Microsoft ftpd
9594/tcp  open     ftp        Microsoft ftpd
9595/tcp  open     ftp        Microsoft ftpd
9618/tcp  open     ftp        Microsoft ftpd
9666/tcp  open     ftp        Microsoft ftpd
9876/tcp  open     ftp        Microsoft ftpd
9877/tcp  open     ftp        Microsoft ftpd
9878/tcp  open     ftp        Microsoft ftpd
9898/tcp  open     ftp        Microsoft ftpd
9900/tcp  open     ftp        Microsoft ftpd
9917/tcp  open     ftp        Microsoft ftpd
9929/tcp  open     ftp        Microsoft ftpd
9943/tcp  open     ftp        Microsoft ftpd
9944/tcp  open     ftp        Microsoft ftpd
9968/tcp  open     ftp        Microsoft ftpd
9998/tcp  open     ftp        Microsoft ftpd
9999/tcp  open     ftp        Microsoft ftpd
10000/tcp open     ftp        Microsoft ftpd
10001/tcp open     ftp        Microsoft ftpd
10002/tcp open     ftp        Microsoft ftpd
10003/tcp open     ftp        Microsoft ftpd
10004/tcp open     ftp        Microsoft ftpd
10009/tcp open     ftp        Microsoft ftpd
10010/tcp open     ftp        Microsoft ftpd
10012/tcp open     ftp        Microsoft ftpd
10024/tcp open     ftp        Microsoft ftpd
10025/tcp open     ftp        Microsoft ftpd
10082/tcp open     ftp        Microsoft ftpd
10180/tcp open     ftp        Microsoft ftpd
10215/tcp open     ftp        Microsoft ftpd
10243/tcp open     ftp        Microsoft ftpd
10566/tcp open     ftp        Microsoft ftpd
10616/tcp open     ftp        Microsoft ftpd
10617/tcp open     ftp        Microsoft ftpd
10621/tcp open     ftp        Microsoft ftpd
10626/tcp open     ftp        Microsoft ftpd
10628/tcp open     ftp        Microsoft ftpd
10629/tcp open     ftp        Microsoft ftpd
10778/tcp open     ftp        Microsoft ftpd
11110/tcp open     ftp        Microsoft ftpd
11111/tcp open     ftp        Microsoft ftpd
11967/tcp open     ftp        Microsoft ftpd
12000/tcp open     ftp        Microsoft ftpd
12174/tcp open     ftp        Microsoft ftpd
12265/tcp open     ftp        Microsoft ftpd
12345/tcp open     ftp        Microsoft ftpd
13456/tcp open     ftp        Microsoft ftpd
13722/tcp open     ftp        Microsoft ftpd
13782/tcp open     ftp        Microsoft ftpd
13783/tcp open     ftp        Microsoft ftpd
14000/tcp open     ftp        Microsoft ftpd
14238/tcp open     ftp        Microsoft ftpd
14441/tcp open     ftp        Microsoft ftpd
14442/tcp open     ftp        Microsoft ftpd
15000/tcp open     ftp        Microsoft ftpd
15002/tcp open     ftp        Microsoft ftpd
15003/tcp open     ftp        Microsoft ftpd
15004/tcp open     ftp        Microsoft ftpd
15660/tcp open     ftp        Microsoft ftpd
15742/tcp open     ftp        Microsoft ftpd
16000/tcp open     ftp        Microsoft ftpd
16001/tcp open     ftp        Microsoft ftpd
16012/tcp open     ftp        Microsoft ftpd
16016/tcp open     ftp        Microsoft ftpd
16018/tcp open     ftp        Microsoft ftpd
16080/tcp open     ftp        Microsoft ftpd
16113/tcp open     ftp        Microsoft ftpd
16992/tcp open     ftp        Microsoft ftpd
16993/tcp open     ftp        Microsoft ftpd
17877/tcp open     ftp        Microsoft ftpd
17988/tcp open     ftp        Microsoft ftpd
18040/tcp open     ftp        Microsoft ftpd
18101/tcp open     ftp        Microsoft ftpd
18988/tcp open     ftp        Microsoft ftpd
19101/tcp open     ftp        Microsoft ftpd
19283/tcp open     ftp        Microsoft ftpd
19315/tcp open     ftp        Microsoft ftpd
19350/tcp open     ftp        Microsoft ftpd
19780/tcp open     ftp        Microsoft ftpd
19801/tcp open     ftp        Microsoft ftpd
19842/tcp open     ftp        Microsoft ftpd
20000/tcp open     ftp        Microsoft ftpd
20005/tcp open     ftp        Microsoft ftpd
20031/tcp open     ftp        Microsoft ftpd
20221/tcp open     ftp        Microsoft ftpd
20222/tcp open     ftp        Microsoft ftpd
20828/tcp open     ftp        Microsoft ftpd
21571/tcp open     ftp        Microsoft ftpd
22939/tcp open     ftp        Microsoft ftpd
23502/tcp open     ftp        Microsoft ftpd
24444/tcp open     ftp        Microsoft ftpd
24800/tcp open     ftp        Microsoft ftpd
25734/tcp open     ftp        Microsoft ftpd
25735/tcp open     ftp        Microsoft ftpd
26214/tcp open     ftp        Microsoft ftpd
27000/tcp open     ftp        Microsoft ftpd
27352/tcp open     ftp        Microsoft ftpd
27353/tcp open     ftp        Microsoft ftpd
27355/tcp open     ftp        Microsoft ftpd
27356/tcp open     ftp        Microsoft ftpd
27715/tcp open     ftp        Microsoft ftpd
28201/tcp open     ftp        Microsoft ftpd
30000/tcp open     ftp        Microsoft ftpd
30718/tcp open     ftp        Microsoft ftpd
30951/tcp open     ftp        Microsoft ftpd
31038/tcp open     ftp        Microsoft ftpd
31337/tcp open     ftp        Microsoft ftpd
32768/tcp open     ftp        Microsoft ftpd
32769/tcp open     ftp        Microsoft ftpd
32770/tcp open     ftp        Microsoft ftpd
32771/tcp open     ftp        Microsoft ftpd
32772/tcp open     ftp        Microsoft ftpd
32773/tcp open     ftp        Microsoft ftpd
32774/tcp open     ftp        Microsoft ftpd
32775/tcp open     ftp        Microsoft ftpd
32776/tcp open     ftp        Microsoft ftpd
32777/tcp open     ftp        Microsoft ftpd
32778/tcp open     ftp        Microsoft ftpd
32779/tcp open     ftp        Microsoft ftpd
32780/tcp open     ftp        Microsoft ftpd
32781/tcp open     ftp        Microsoft ftpd
32782/tcp open     ftp        Microsoft ftpd
32783/tcp open     ftp        Microsoft ftpd
32784/tcp open     ftp        Microsoft ftpd
32785/tcp open     ftp        Microsoft ftpd
33354/tcp open     ftp        Microsoft ftpd
33899/tcp open     ftp        Microsoft ftpd
34571/tcp open     ftp        Microsoft ftpd
34572/tcp open     ftp        Microsoft ftpd
34573/tcp open     ftp        Microsoft ftpd
35500/tcp open     ftp        Microsoft ftpd
38292/tcp open     ftp        Microsoft ftpd
40193/tcp open     ftp        Microsoft ftpd
40911/tcp open     ftp        Microsoft ftpd
41511/tcp open     ftp        Microsoft ftpd
42510/tcp open     ftp        Microsoft ftpd
44176/tcp open     ftp        Microsoft ftpd
44442/tcp open     ftp        Microsoft ftpd
44443/tcp open     ftp        Microsoft ftpd
44501/tcp open     ftp        Microsoft ftpd
45100/tcp open     ftp        Microsoft ftpd
48080/tcp open     ftp        Microsoft ftpd
49152/tcp open     ftp        Microsoft ftpd
49153/tcp open     ftp        Microsoft ftpd
49154/tcp open     ftp        Microsoft ftpd
49155/tcp open     ftp        Microsoft ftpd
49156/tcp open     ftp        Microsoft ftpd
49157/tcp open     ftp        Microsoft ftpd
49158/tcp open     ftp        Microsoft ftpd
49159/tcp open     ftp        Microsoft ftpd
49160/tcp open     ftp        Microsoft ftpd
49161/tcp open     ftp        Microsoft ftpd
49163/tcp open     ftp        Microsoft ftpd
49165/tcp open     ftp        Microsoft ftpd
49167/tcp open     ftp        Microsoft ftpd
49175/tcp open     ftp        Microsoft ftpd
49176/tcp open     ftp        Microsoft ftpd
49400/tcp open     ftp        Microsoft ftpd
49999/tcp open     ftp        Microsoft ftpd
50000/tcp open     ftp        Microsoft ftpd
50001/tcp open     ftp        Microsoft ftpd
50002/tcp open     ftp        Microsoft ftpd
50003/tcp open     ftp        Microsoft ftpd
50006/tcp open     ftp        Microsoft ftpd
50300/tcp open     ftp        Microsoft ftpd
50389/tcp open     ftp        Microsoft ftpd
50500/tcp open     ftp        Microsoft ftpd
50636/tcp open     ftp        Microsoft ftpd
50800/tcp open     ftp        Microsoft ftpd
51103/tcp open     ftp        Microsoft ftpd
51493/tcp open     ftp        Microsoft ftpd
52673/tcp open     ftp        Microsoft ftpd
52822/tcp open     ftp        Microsoft ftpd
52848/tcp open     ftp        Microsoft ftpd
52869/tcp open     ftp        Microsoft ftpd
54045/tcp open     ftp        Microsoft ftpd
54328/tcp open     ftp        Microsoft ftpd
55055/tcp open     ftp        Microsoft ftpd
55056/tcp open     ftp        Microsoft ftpd
55555/tcp open     ftp        Microsoft ftpd
55600/tcp open     ftp        Microsoft ftpd
56737/tcp open     ftp        Microsoft ftpd
56738/tcp open     ftp        Microsoft ftpd
57294/tcp open     ftp        Microsoft ftpd
57797/tcp open     ftp        Microsoft ftpd
58080/tcp open     ftp        Microsoft ftpd
60020/tcp open     ftp        Microsoft ftpd
60443/tcp open     ftp        Microsoft ftpd
61532/tcp open     ftp        Microsoft ftpd
61900/tcp open     ftp        Microsoft ftpd
62078/tcp open     ftp        Microsoft ftpd
63331/tcp open     ftp        Microsoft ftpd
64623/tcp open     ftp        Microsoft ftpd
64680/tcp open     ftp        Microsoft ftpd
65000/tcp open     ftp        Microsoft ftpd
65129/tcp open     ftp        Microsoft ftpd
65389/tcp open     ftp        Microsoft ftpd
Service Info: OS: Windows; CPE: cpe:/o:microsoft:windows

Service detection performed. Please report any incorrect results at https://nmap.org/submit/ .
Nmap done: 1 IP address (1 host up) scanned in 240.95 seconds
