Starting Nmap 7.94SVN ( https://nmap.org ) at 2024-09-22 14:21 EDT
Nmap scan report for 115.243.113.46
Host is up (0.29s latency).

PORT      STATE    SERVICE    VERSION
995/tcp   open     ftp        Microsoft ftpd
999/tcp   open     ftp        Microsoft ftpd
1000/tcp  open     ftp        Microsoft ftpd
1001/tcp  open     ftp        Microsoft ftpd
1002/tcp  open     ftp        Microsoft ftpd
1007/tcp  open     ftp        Microsoft ftpd
1009/tcp  open     ftp        Microsoft ftpd
1010/tcp  open     ftp        Microsoft ftpd
1011/tcp  open     ftp        Microsoft ftpd
1021/tcp  open     ftp        Microsoft ftpd
1022/tcp  open     ftp        Microsoft ftpd
1023/tcp  open     ftp        Microsoft ftpd
1024/tcp  open     ftp        Microsoft ftpd
1025/tcp  open     ftp        Microsoft ftpd
1026/tcp  open     ftp        Microsoft ftpd
1027/tcp  open     ftp        Microsoft ftpd
1028/tcp  open     ftp        Microsoft ftpd
1029/tcp  open     ftp        Microsoft ftpd
1030/tcp  open     ftp        Microsoft ftpd
1031/tcp  open     ftp        Microsoft ftpd
1032/tcp  open     ftp        Microsoft ftpd
1033/tcp  open     ftp        Microsoft ftpd
1034/tcp  open     ftp        Microsoft ftpd
1035/tcp  open     ftp        Microsoft ftpd
1036/tcp  open     ftp        Microsoft ftpd
1037/tcp  open     ftp        Microsoft ftpd
1038/tcp  open     ftp        Microsoft ftpd
1039/tcp  open     ftp        Microsoft ftpd
1040/tcp  open     ftp        Microsoft ftpd
1041/tcp  open     ftp        Microsoft ftpd
1042/tcp  open     ftp        Microsoft ftpd
1043/tcp  open     ftp        Microsoft ftpd
1044/tcp  open     ftp        Microsoft ftpd
1045/tcp  open     ftp        Microsoft ftpd
1046/tcp  open     ftp        Microsoft ftpd
1047/tcp  open     ftp        Microsoft ftpd
1048/tcp  open     ftp        Microsoft ftpd
1049/tcp  open     ftp        Microsoft ftpd
1050/tcp  open     ftp        Microsoft ftpd
1051/tcp  open     ftp        Microsoft ftpd
1052/tcp  open     ftp        Microsoft ftpd
1053/tcp  open     ftp        Microsoft ftpd
1054/tcp  open     ftp        Microsoft ftpd
1055/tcp  open     ftp        Microsoft ftpd
1056/tcp  open     ftp        Microsoft ftpd
1057/tcp  open     ftp        Microsoft ftpd
1058/tcp  open     ftp        Microsoft ftpd
1059/tcp  open     ftp        Microsoft ftpd
1060/tcp  open     ftp        Microsoft ftpd
